1 H 14.01
2 He 0.95
3 Li 453.69
4 Be 1560
5 B 2349
6 C 3800
7 N 63.15
8 O 54.36
9 F 53.53
10 Ne 24.56
11 Na 370.87
12 Mg 923
13 Al 933.47
14 Si 1687
15 P 317.30
16 S 388.36
17 Cl 171.6
18 Ar 83.80
19 K 336.53
20 Ca 1115
21 Sc 1814
22 Ti 1941
23 V 2183
24 Cr 2180
25 Mn 1519
26 Fe 1811
27 Co 1768
28 Ni 1728
29 Cu 1357.77
30 Zn 692.88
31 Ga 302.9146
32 Ge 1211.40
33 As 1090
34 Se 453
35 Br 265.8
36 Kr 115.79
37 Rb 312.46
38 Sr 1050
39 Y 1799
40 Zr 2128
41 Nb 2750
42 Mo 2896
43 Tc 2430
44 Ru 2607
45 Rh 2237
46 Pd 1828.05
47 Ag 1234.93
48 Cd 594.22
49 In 429.75
50 Sn 505.08
51 Sb 903.78
52 Te 722.66
53 I 386.85
54 Xe 161.4
55 Cs 301.59
56 Ba 1000
57 La 1193
58 Ce 1068
59 Pr 1208
60 Nd 1297
61 Pm 1315
62 Sm 1345
63 Eu 1099
64 Gd 1585
65 Tb 1629
66 Dy 1680
67 Ho 1734
68 Er 1802
69 Tm 1818
70 Yb 1097
71 Lu 1925
72 Hf 2506
73 Ta 3290
74 W 3695
75 Re 3459
76 Os 3306
77 Ir 2719
78 Pt 2041.4
79 Au 1337.33
80 Hg 234.43
81 Tl 577
82 Pb 600.61
83 Bi 544.7
84 Po 527
85 At 575
86 Rn 202
87 Fr 300
88 Ra 973
89 Ac 1323
90 Th 2115
91 Pa 1841
92 U 1405.3
93 Np 917
94 Pu 912.5
95 Am 1449
96 Cm 1613
97 Bk 1259
98 Cf 1173
99 Es 1133
100 Fm 1125
101 Md 1100
102 No 1100
103 Lr 1900
104 Rf 2400
105 Db 0
106 Sg 0
107 Bh 0
108 Hs 0
109 Mt 0
110 Ds 0
111 Rg 0
112 Cn 0
113 Uut 700
114 Fl 340
115 Uup 700
116 Lv 708.5
117 Uus 673
118 Uuo 258
